,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
1386,146.8,19.0,18.0,2531.0,19.0,72.0,2650.0,28.0
1387,146.8,19.1,18.1,2471.0,21.0,92.0,2485.94,21.0
1388,157.2,7.0,6.0,2259.0,7.6,59.0,2365.0,12.0
1389,146.8,17.5,16.5,2242.0,18.5,30.0,2532.08,45.0
1390,146.8,20.3,19.3,2271.0,20.5,23.0,2403.0,32.0
1391,146.8,17.6,16.6,3090.0,17.0,44.0,3140.39,17.0
1392,146.8,20.5,19.5,2864.0,21.0,73.0,2968.57,25.0
1393,146.8,21.0,19.2,21.2,20.8,50.0,2410.12,36.0
1394,146.8,8.5,7.5,2990.0,8.9,42.0,3030.0,15.0
1395,146.8,1.8,18.8,2414.0,20.7,86.0,2479.0,27.0
1396,146.8,26.5,25.5,2584.0,27.8,76.0,2637.0,32.0
1397,146.8,17.2,16.2,2088.0,18.2,20.0,2387.49,32.0
1398,150.2,21.0,20.0,1915.0,21.0,26.0,2234.0,41.5
1399,159.6,9.5,8.5,2753.0,10.3,69.0,2779.33,12.0
1400,146.8,11.6,10.6,2554.0,11.0,24.0,2591.13,17.0
1401,146.8,19.7,18.7,2550.0,19.7,86.0,2681.0,25.0
1402,146.8,20.5,19.5,2831.0,21.0,26.0,2851.0,22.0
1403,146.8,22.5,21.5,2788.0,23.5,30.0,2877.0,29.0
1404,146.8,19.5,18.7,3059.0,20.3,42.0,3106.26,25.0
1405,146.8,7.1,6.1,2534.0,7.3,33.0,2556.04,11.0
1406,146.8,9.4,8.4,1973.0,10.2,17.0,2402.22,35.0
